"名称","品牌","评分","年份","属性","香调"
"娇兰 傲慢男士Guerlain Homme, 2008","娇兰 ",8.1,2008,"男香 ","木质馥奇香调  "
"娇兰 花草水语-柑橘绿茶Guerlain Teazzurra, 2015","娇兰 ",8,2015,"中性香","柑橘馥奇香调  "
"娇兰 理想男士（偷心）Guerlain L'Homme Ideal, 2014","娇兰 ",8,2014,"男香 ","木质馥奇香调  "
"普拉达 同名女士香水（琥珀女士）Prada (Amber), 2004","普拉达 ",8,2004,"女香 ","木质东方调  "
"兰蔻 收藏系列皮革Lancome Cuir de Lanc<U+00F4>me, 2007","兰蔻 ",8,2007,"女香 ","花香甘苔调  "
"拉尔夫·劳伦 蓝马球Ralph Lauren Polo Blue, 2003","拉尔夫·劳伦 ",8,2003,"男香 ","馥奇香调  "
"阿莎罗 铬元素Azzaro Chrome, 1996","阿莎罗 ",8,1996,"男香 ","柑橘馥奇香调  "
"大卫杜夫 冷水女士Davidoff Cool Water, 1996","大卫杜夫 ",8,1996,"女香 ","水生花香调  "
"圣罗兰 猛男YSL Yves Saint Laurent Body Kouros, 2000","圣罗兰 ",8,2000,"男香 ","辛辣东方调  "
"约翰·瓦维托斯 佳酿John Varvatos Vintage, 2006","约翰·瓦维托斯 ",7.9,2006,"男香 ","木质甘苔调  "
"蒂埃里·穆勒 A*纯粹咖啡Mugler A*Men Pure Coffee, 2008","蒂埃里·穆勒 ",7.8,2008,"男香 ","东方调  "
"蒂埃里·穆勒 A*纯粹麦芽Mugler A*Men Pure Malt, 2009","蒂埃里·穆勒 ",7.7,2009,"男香 ","木质东方调  "
"珍蒂毕丝 凡尔赛舞会Jean Desprez Bal a Versailles, 1962","珍蒂毕丝 ",7.7,1962,"女香 ","东方调  "
"唐娜·凯伦 黑色羊绒Donna Karan Black Cashmere, 2002","唐娜·凯伦 ",7.7,2002,"女香 ","东方花香调  "
"卡朗 同名男士Caron Pour Un Homme de Caron, 1934","卡朗 ",7.6,1934,"男香 ","馥奇香调  "
"帝门特 浓缩牛奶（炼乳）Demeter Fragrance Condensed Milk, 1960","帝门特 ",7.6,1960,"中性香","：帝门特属性：中性香  <U+00A0><U+00A0>  "
"蒂埃里·穆勒 A*天使男士纯哈瓦那Mugler A*Men Pure Havane, 2011","蒂埃里·穆勒 ",7.5,2011,"男香 ","东方美食调  "
"魅影 不羁夜Ghost Deep Night, 2001","魅影 ",7.4,2001,"女香 ","花香果香调  "
"诺蒂卡 航海Nautica Voyage, 2006","诺蒂卡 ",7.4,2006,"男香 ","水生木质调  "
"汤姆·福特 同名男士极致版Tom Ford for Men Extreme, 2007","汤姆·福特 ",7.4,2007,"男香 ","辛辣木质调  "
"汤姆·福特 撒哈拉黑Tom Ford Sahara Noir, 2013","汤姆·福特 ",7.1,2013,"女香 ","东方花香调  "
